date,Rm-Rf,SMB,HML,RMW,CMA,Rf,Mom,ST_Rev,LT_Rev,Rp_ew_cc
16/10/2000,0.24,-0.31,-0.5,-0.51,1.12,0.025,1.39,-1.21,0.58,-0.007500066
17/10/2000,-1.95,0.08,1.08,1.45,0.93,0.025,-0.05,-2.72,-0.92,0.005248266
18/10/2000,-0.84,0,0.2,1,0.44,0.025,-1.2,-0.41,0.18,-0.008286601
19/10/2000,3.66,-0.72,-2.75,-1.26,-2.99,0.025,0,6.01,-0.64,0.003886748
20/10/2000,0.92,0.39,-1.22,-1.82,-1.53,0.025,-0.26,2.35,0.17,0.004331727
23/10/2000,0.03,0.39,-0.47,-1.02,0.53,0.025,-0.26,0.94,1.01,-0.010849595
24/10/2000,-0.12,-0.19,0.73,1.34,0.97,0.025,-1.35,0.35,0.07,0.004456383
25/10/2000,-2.52,0.3,1.8,2.3,2.07,0.025,-1.74,-2.5,0.1,-0.000134631
26/10/2000,0,0.65,-0.25,0.04,-0.15,0.025,-0.33,1.03,0.11,-7.69E-05
27/10/2000,0.91,-0.88,1.2,0.77,0.1,0.025,-1.19,-0.21,0.06,-0.005316286
30/10/2000,0.74,-0.82,1.74,1.82,1.58,0.025,-2.07,-2,0.3,0.021011976
31/10/2000,2.75,0.03,-1.92,-1.98,-1.4,0.025,0.83,4.28,-1.43,-0.009471872
1/11/2000,-0.48,-0.15,0.8,-0.53,0.17,0.024,-0.3,0.59,0.28,0.002979684
2/11/2000,1.05,1,-1.31,-1.13,-0.62,0.024,-0.5,1.17,-0.45,0.005960602
3/11/2000,-0.03,0.7,-0.93,-0.46,-0.43,0.024,0.72,1.02,-0.11,0.003760209
6/11/2000,0.13,-0.72,0.34,0.4,0.9,0.024,0.38,0.17,0.54,-0.006129007
7/11/2000,-0.08,0.36,-0.45,-0.07,-0.26,0.024,-0.36,0.03,0.15,0.012739879
8/11/2000,-1.97,0.79,2.07,1.63,2.22,0.024,-0.75,0.43,1.33,-0.001491396
9/11/2000,-0.96,-0.19,0.92,1.61,0.46,0.024,0.53,0.25,-0.36,-0.005485872
10/11/2000,-2.69,-0.02,2.52,0.89,2.11,0.024,0.85,0.03,1.58,0.000357065
13/11/2000,-1.39,0.4,1.71,1.79,-0.27,0.024,-1.96,0.43,-0.68,0.000333612
14/11/2000,2.66,-0.66,-2.31,-1.42,-1.75,0.024,0.95,2.57,-1.16,0.000933781
15/11/2000,0.6,-0.09,0.3,-0.3,0.14,0.024,1.53,0.16,0.53,0.001054521
16/11/2000,-1.67,-0.15,1.75,1.46,1.22,0.024,0.32,-0.89,0.52,-0.009334942
17/11/2000,-0.52,0.77,0.6,0.9,0.49,0.024,-0.07,-0.15,-0.44,-0.016059806
20/11/2000,-2.46,0.06,1.89,2.19,1.28,0.024,-0.61,-2.19,0.44,0.012651192
21/11/2000,-0.05,-0.78,0.74,1.33,0.71,0.024,1.44,-0.79,-0.35,-0.002946571
22/11/2000,-2.12,0.16,2,1.2,0.86,0.024,-0.33,-2.42,0.53,-0.004622404
24/11/2000,2.08,0.33,-2.16,-2.24,-1.41,0.024,-0.18,2.53,-0.7,-0.001887432
27/11/2000,0.3,-0.36,-0.75,1.05,0.23,0.024,0.06,-0.15,-0.35,0.005270463
28/11/2000,-1.67,-0.58,2.63,2.27,1.58,0.024,0.79,-2.47,0.73,-0.000183914
29/11/2000,0.18,-1.35,1.03,1.98,0.55,0.024,-0.13,-1.4,-0.23,0.001418916
30/11/2000,-2.03,-0.21,1.45,0.72,0.97,0.024,1.36,-1.59,1.13,0.003677197
1/12/2000,0.51,1.44,-0.71,-1.76,-0.43,0.025,0.77,2.65,-0.49,-0.001573283
4/12/2000,0.35,-1.65,0.97,1.19,0.55,0.025,0.01,-1.97,0.08,-7.24E-05
5/12/2000,4.55,-0.68,-3.6,-2.14,-3.38,0.025,1.12,6.66,-2.7,-0.029819253
6/12/2000,-1.78,0.27,0.99,-0.03,0.97,0.025,0.87,-1.4,0.66,-0.000858038
7/12/2000,-0.59,0.04,0.69,0.51,0.78,0.025,1.38,-1.68,0.12,-0.008758545
8/12/2000,2.79,0.24,-1.88,-2.69,-0.91,0.025,-0.33,3.13,-0.56,-0.00996819
11/12/2000,1.15,0.06,-1.07,-1.45,-1.01,0.025,-0.48,2.52,-0.65,0.003640279
12/12/2000,-1.07,-0.4,0.81,0.82,0.51,0.025,-1.81,1.73,0,-0.003549134
13/12/2000,-1.14,0.04,1.25,1.1,1.05,0.025,0.06,0.18,1.18,0.017921325
14/12/2000,-1.8,0.22,1.23,1.06,1.21,0.025,-0.01,-1.08,0.87,-0.000494368
15/12/2000,-1.96,0.72,1.65,-0.46,0.72,0.025,1.31,-1.71,0.44,-0.006730359
18/12/2000,0.6,-0.18,1.1,1.78,1.57,0.025,2.45,-2.52,1.12,0.012852305
19/12/2000,-1.63,0.24,2.2,1.14,1.77,0.025,0.95,-2.75,1.46,-0.003613266
20/12/2000,-3.59,-0.19,3.5,2.75,2.4,0.025,1.56,-4.16,2.13,0.002463376
21/12/2000,0.54,0.16,0.09,1.51,-0.42,0.025,0.35,-1.12,0.19,-0.000412564
22/12/2000,3.06,0.05,-2.06,-2.2,-2.1,0.025,-1.66,3.65,-1.56,0.020702713
26/12/2000,0.55,-0.26,0.71,0.43,0.73,0.025,1.96,-1.13,0.9,-0.001114731
27/12/2000,1.36,0.83,-0.64,-0.22,-0.2,0.025,0.13,0.23,-0.27,0.00938761
28/12/2000,0.88,1.95,-0.89,-0.56,0.28,0.025,0.07,0.09,-0.15,-0.000371459
29/12/2000,-1.23,0.25,1.33,0.39,1.21,0.025,-0.01,2.07,0.56,0.004777988
